bill_id,customer_id,meter_id,rate_plan_id,billing_period_start,billing_period_end,bill_date,due_date,units_consumed,peak_units,off_peak_units,bill_base_amount,fixed_charges,tax_amount,total_bill_amount,amount_paid,outstanding_balance,payment_method,payment_date,bill_status,payment_status,previous_balance,subsidy_amount,arrears,created_at,rejection_reason
BILL00004234,CUST004278,MTR004278,RP002,2023-04-01,2023-04-30,2023-05-05,2023-05-30,347.24,0,224.08,1780.68,108.65,,,0.0,,,,generated,Paid,979.45,59.63,1635.96,2023-05-05 13:27:16,Invalid or missing billing amount
BILL00006474,CUST003665,MTR003665,RP005,2024-04-01,2024-04-30,2024-05-05,2024-05-28,336.71,164.98,170.03,,285.17,170.7,,2162.84,0.0,Cash,2024-05-26,Paid,Disputed,4540.83,78.41,271.48,2024-05-05 22:45:39,Invalid or missing billing amount
BILL00019624,CUST003369,MTR003369,RP003,2023-12-01,2023-12-31,2024-01-05,2024-01-24,2328.43,1052.15,UNKNOWN,18391.65,196.52,1839.17,,20427.35,0.0,Online,2024-01-13,Paid,Partial,3198.22,0,647.54,2024-01-05 18:16:15,Invalid or missing billing amount
BILL00019347,CUST002735,MTR002735,RP006,2023-01-01,2023-01-31,2023-02-05,2023-02-17,214.82,98.66,,981.51,187.95,98.15,,0.0,1267.61,,,Disputed,Paid,3674.26,66.42,1434.61,2023-02-05 15:16:58,Invalid or missing billing amount
BILL00014800,CUST001593,MTR001593,,2023-12-01,2023-12-31,2024-01-05,2024-01-29,1917780.0,847.5,,14901.13,313.15,1490.11,,16704.39,0.0,Auto Debit,2024-02-06,Paid,,3200.17,,93.9,,Invalid or missing billing amount
BILL00012030,CUST099428,MTR002354,,2023-08-01,0,2023-09-05,2023-09-21,414.62,-,269.87,2252.34,183.2,225.23,,0.0,2660.77,,,Generated,-,3396.83,15.75,938.5,2023-09-05 15:37:17,Invalid or missing billing amount
BILL00012102,CUST001044,MTR001044,,2023-10-01,2023-10-31,2023-11-05,2023-11-21,313.98,126.19,173.89,1547.86,165.86,154.79,,,0.0,Online,2023-11-23,Paid,Overdue,4485.76,65.04,154.81,,Invalid or missing billing amount
BILL00010708,UNKNOWN,MTR003790,RP003,2023-07-01,2023-07-31,2023-08-05,2023-08-18,12.12,4.68,7.22,42.42,391.24,4.24,,437.9,0.0,Mobile App,2023-08-05,Paid,Disputed,,0,950.74,,Invalid or missing billing amount
BILL00021408,CUST002805,MTR002805,RP002,2024-07-01,2024-07-31,2024-08-05,2024-08-23,350.26,,201.85,1801.82,157.65,180.18,,2139.65,0.0,Cheque,2024-09-07,PAID,Unpaid,1077.5,,1461.22,,Invalid or missing billing amount
BILL00020078,CUST002355,MTR002355,RP002,2024-07-01,2024-07-31,2024-08-05,,336.62,112.09,187.9,1706.34,206.05,170.63,,2083.02,0.0,Cheque,2024-08-18,Paid,Paid,4785.84,9.91,791.45,2024-08-05 04:26:14,Invalid or missing billing amount
BILL00019033,CUST004192,MTR004192,RP002,2023-05-01,2023-05-31,2023-06-05,2023-06-29,2123510.0,1007.63,1215.73,16649.84,98.19,1664.98,,18413.0,0.0,Cheque,2023-06-11,,Unpaid,2898.52,0,622.04,2023-06-05 14:11:25,Invalid or missing billing amount
BILL00015398,CUST003278,MTR003278,RP001,2024-02-01,2024-02-29,,2024-03-30,385.04,163.54,203.78,2045.28,282.01,0,,0.0,2531.82,,,Revised,Written Off,3432.6,,1298.35,2024-03-05 23:51:37,Invalid or missing billing amount
BILL00009116,CUST002015,MTR002015,RP004,2024-03-01,2024-03-31,,2024-04-22,21787.4,7763.3,10916.68,183792.9,275.55,18379.29,,0.0,202447.74,,,Generated,Paid,3070.73,,1082.69,2024-04-05 19:20:36,Invalid or missing billing amount
BILL00019095,CUST004123,,,,2024-04-30,2024-05-05,2024-05-27,161.57,59.05,103.27,688.63,407.07,68.86,,0.0,1164.57,,,Disputed,Unpaid,326.02,0,1683.32,2024-05-05 14:22:43,Invalid or missing billing amount
BILL00009537,CUST000357,MTR000357,RP001,2023-02-01,2023-02-28,,,17744.39,6603.76,10869.99,149427.32,445.15,14942.73,,0.0,164815.19,,,Generated,Overdue,2615.41,0,465.63,2023-03-05 15:12:11,Invalid or missing billing amount
BILL00004247,CUST003307,MTR003307,RP001,2024-03-01,2024-03-31,2024-04-05,2024-04-15,16.47,7.24,9.05,57.64,253.08,5.76,,0.0,316.49,,,Sent,Partial,1014.19,120.15,1531.2,2024-04-05 06:28:05,Invalid or missing billing amount
