read_id,meter_id,customer_id,read_timestamp,read_type,units_consumed,cumulative_reading,voltage_v,current_a,power_factor,peak_demand_kw,reactive_units_kvar,tamper_flag,outage_flag,quality_flag,created_at,rejection_reason
RD00020007,MTR004747,CUST004747,2022-10-20 16:32:51,Manual,,215465.62,230.7,27.73,0.959,4.079,0.0,0,0,Good,,Invalid or missing units consumed
RD00000786,0,CUST004071,2023-04-26 17:41:12,Automatic,,250492.48,224.9,27.02,0.729,2.75,0.1053,0,0,Good,,Invalid or missing units consumed
RD00004823,MTR001888,CUST001888,2022-07-28 15:53:15,Estimated,,306783.13,240.6,28.74,0.986,,0.2816,0,0,,2022-07-28 16:06:15,Invalid or missing units consumed
RD00015334,MTR004664,CUST004664,2024-11-06 23:28:56,Automatic,,417252.98,241.8,13.46,0.844,1.502,0.108,0,0,Good,2024-11-06 23:56:56,Invalid or missing units consumed
RD00019275,MTR002448,CUST002448,2024-04-05 09:34:29,Automatic,,196166.31,223.4,42.72,,7.361,0.2009,0,0,Good,2024-04-05 09:41:29,Invalid or missing units consumed
RD00031514,MTR001610,CUST001610,2023-07-31 11:32:22,automatic,,294671.46,232.0,27.96,0.963,5.504,0.1329,0,0,Good,2023-07-31 11:59:22,Invalid or missing units consumed
RD00006698,MTR004429,CUST004429,2024-01-28 18:11:12,Manual,,106765.82,235.6,11.04,0.893,3.076,,0,1,Estimated,2024-01-28 18:34:12,Invalid or missing units consumed
RD00041979,MTR004462,CUST004462,2022-12-05 10:01:06,Automatic,,69622.09,232.8,16.39,0.853,51.386,3.3597,0,0,Good,,Invalid or missing units consumed
RD00005961,MTR003520,CUST003520,2023-07-21 19:14:55,Automatic,,456266.53,228.2,5.66,0.709,207.669,14.686,0,0,Good,2023-07-21 19:30:55,Invalid or missing units consumed
RD00000978,MTR001940,CUST001940,2023-10-03 05:06:52,Manual,,288185.3,220.4,2.1,0.862,15.581,1.1107,0,0,Good,2023-10-03 05:34:52,Invalid or missing units consumed
RD00003520,MTR002350,CUST002350,2022-09-12 21:53:03,Automatic,,392232.1,248.2,27.01,0.852,1004.371,26.4222,0,0,Suspect,2022-09-12 22:00:03,Invalid or missing units consumed
RD00025720,MTR099780,CUST003944,2024-01-02 07:30:07,Automatic,,219020.9,,19.12,0.841,39.541,3.1356,-,0,Good,2024-01-02 07:37:07,Invalid or missing units consumed
RD00022276,MTR002350,CUST002350,2024-01-15 17:59:45,Automatic,,256205.3,236.1,22.89,0.916,138.018,3.5539,0,0,,2024-01-15 18:10:45,Invalid or missing units consumed
RD00034213,MTR001876,CUST001876,2023-07-01 15:00:32,Automatic,,250023.75,246.8,2.42,0.965,5.261,0.3837,0,0,Good,2023-07-01 15:23:32,Invalid or missing units consumed
RD00014669,MTR001827,CUST001827,2022-07-06 17:04:32,Automatic,,226052.28,208.3,40.87,0.0,6.361,0.408,0,0,Good,2022-07-06 17:08:32,Invalid or missing units consumed
RD00046724,MTR001973,CUST001973,2024-01-12 04:47:55,Automatic,,131606.27,232.0,18.88,0.801,,0.0,1,0,Good,2024-01-12 04:58:55,Invalid or missing units consumed
RD00040744,MTR003955,CUST003955,2023-08-12 07:22:09,Automatic,,133496.03,226.9,,0.805,4.949,0.1552,0,0,-,2023-08-12 07:44:09,Invalid or missing units consumed
RD00045107,MTR004026,CUST004026,2023-08-27 23:37:36,Automatic,,439557.88,UNKNOWN,4.29,0.864,1.35,0.0267,0,0,Invalid,,Invalid or missing units consumed
RD00029234,MTR004160,CUST004160,2024-02-17 11:58:43,Automatic,,,230.1,4.37,0.788,3.231,,0,0,Estimated,2024-02-17 12:09:43,Invalid or missing units consumed
RD00009234,MTR001766,CUST001766,,Automatic,,158685.95,221.4,8.19,0.978,3.277,0.1402,0,0,Good,,Invalid or missing units consumed
RD00028733,MTR004405,CUST004405,2023-03-13 08:18:34,Automatic,,113407.66,234.8,43.71,0.885,0.915,0.0264,-,0,Good,2023-03-13 08:31:34,Invalid or missing units consumed
RD00028366,MTR001988,CUST001988,2024-10-28 13:42:14,Automatic,,254073.68,234.8,15.81,0.932,3.894,0.1496,0,0,Invalid,2024-10-28 14:05:14,Invalid or missing units consumed
RD00001046,MTR000992,CUST000992,2023-12-10 13:05:13,Automatic,,,222.2,,0.967,18.023,2.1095,0,1,Suspect,2023-12-10 13:20:13,Invalid or missing units consumed
RD00045333,MTR004413,CUST004413,2022-03-25 21:52:56,Automatic,,244574650.0,229.2,10.6,0.849,21.677,2.37,0,0,Estimated,2022-03-25 21:58:56,Invalid or missing units consumed
RD00010162,MTR000027,CUST000027,2024-11-05 03:26:02,Automatic,,241100.82,230.2,47.56,0.769,1.231,0.0662,0,0,,2024-11-05 03:35:02,Invalid or missing units consumed
RD00031283,MTR002661,CUST002661,2022-07-17 01:44:29,Automatic,,,229.4,23.86,0.709,719.372,40.5003,0,0,Good,,Invalid or missing units consumed
RD00020756,MTR003899,CUST003899,2023-09-16 09:24:28,-,,453764.11,206.6,49.25,0.942,64.668,3.5259,0,0,Good,2023-09-16 09:49:28,Invalid or missing units consumed
