tariff_id,rate_plan_id,rate_plan_name,tariff_category,tier_number,tier_lower_unit,tier_upper_unit,rate_per_unit,tou_period,peak_rate_multiplier,fixed_charge_monthly,demand_charge_per_kw,fuel_surcharge_pct,tax_rate_pct,electricity_duty_pct,effective_from,effective_to,currency,approved_by
TAR0001,RP001,Residential Standard,Residential,1,0,100,3.5,All,1.0,265.18,0.0,0.1189,0.1467,0.0854,2021-12-30,9999-12-31,INR,REGULATOR-ORDER-9106
TAR0002,RP001,Residential Standard,Residential,2,101,300,5.5,All,1.0,180.04,0.0,0.0513,0.0558,0.132,2021-04-07,9999-12-31,INR,REGULATOR-ORDER-9260
TAR0003,RP001,Residential Standard,Residential,3,301,500,7.0,All,1.0,140.28,0.0,0.1481,0.0768,0.0955,2020-08-24,9999-12-31,INR,REGULATOR-ORDER-2405
TAR0004,RP001,Residential Standard,Residential,4,501,9999,8.5,All,1.0,379.08,0.0,0.0786,0.1105,0.1491,2020-01-22,9999-12-31,INR,REGULATOR-ORDER-8359
TAR0005,RP002,Residential BPL,Residential,1,0,50,1.5,All,1.0,363.46,0.0,0.0893,0.0747,0.1151,2020-07-07,9999-12-31,INR,REGULATOR-ORDER-8037
TAR0006,RP002,Residential BPL,Residential,2,51,150,3.0,All,1.0,239.2,0.0,0.1404,0.1082,0.124,2021-08-08,9999-12-31,INR,REGULATOR-ORDER-7955
TAR0007,RP002,Residential BPL,Residential,3,151,9999,5.0,All,1.0,75.87,0.0,0.0908,0.0552,0.1133,2021-04-05,9999-12-31,INR,REGULATOR-ORDER-5160
TAR0008,RP003,Commercial General,Commercial,1,0,500,6.5,All,1.0,296.78,0.0,0.0615,0.05,0.0746,2021-01-03,9999-12-31,INR,REGULATOR-ORDER-8754
TAR0009,RP003,Commercial General,Commercial,2,501,1000,7.5,All,1.0,121.9,0.0,0.1117,0.1021,0.1162,2020-08-10,9999-12-31,INR,REGULATOR-ORDER-3875
TAR0010,RP003,Commercial General,Commercial,3,1001,9999,9.0,All,1.0,173.6,0.0,0.1256,0.071,0.1373,2021-01-16,9999-12-31,INR,REGULATOR-ORDER-6745
TAR0011,RP004,Industrial HT,Industrial,1,0,9999,5.8,All,1.0,56.43,53.43,0.0639,0.0842,0.0615,2020-10-05,9999-12-31,INR,REGULATOR-ORDER-4145
TAR0012,RP005,Agricultural Pump,Agricultural,1,0,9999,1.25,All,1.0,260.03,0.0,0.1294,0.0508,0.103,2020-08-11,9999-12-31,INR,REGULATOR-ORDER-2028
TAR0013,RP006,Time of Use Commercial,Commercial,1,0,9999,0.0,Weekend,1.0,80.56,0.0,0.1469,0.0627,0.1268,2021-09-18,9999-12-31,INR,REGULATOR-ORDER-5511
TAR0014,RP001,Residential Standard (Old),Residential,1,0,100,2.98,All,1.0,279.3,0.0,0.0626,0.0824,0.044,2018-01-01,2021-12-31,INR,REGULATOR-ORDER-7781
TAR0015,RP001,Residential Standard (Old),Residential,2,101,300,4.67,All,1.0,144.51,0.0,0.0435,0.1194,0.0658,2018-01-01,2021-12-31,INR,REGULATOR-ORDER-6932
TAR0016,RP001,Residential Standard (Old),Residential,3,301,500,5.95,All,1.0,226.38,0.0,0.0879,0.0664,0.0912,2018-01-01,2021-12-31,INR,REGULATOR-ORDER-6659
TAR0017,RP001,Residential Standard (Old),Residential,4,501,9999,7.22,All,1.0,174.13,0.0,0.0392,0.0881,0.0615,2018-01-01,2021-12-31,INR,REGULATOR-ORDER-3675
TAR0018,RP003,Commercial General (Old),Commercial,1,0,500,5.52,All,1.0,186.5,0.0,0.0915,0.0948,0.0401,2018-01-01,2021-12-31,INR,REGULATOR-ORDER-4719
TAR0019,RP003,Commercial General (Old),Commercial,2,501,1000,6.38,All,1.0,37.26,0.0,0.0815,0.1098,0.087,2018-01-01,2021-12-31,INR,REGULATOR-ORDER-4239
TAR0020,RP003,Commercial General (Old),Commercial,3,1001,9999,7.65,All,1.0,181.15,0.0,0.0697,0.0875,0.0619,2018-01-01,2021-12-31,INR,REGULATOR-ORDER-7730
