read_id,meter_id,customer_id,read_timestamp,read_type,units_consumed,cumulative_reading,voltage_v,current_a,power_factor,peak_demand_kw,reactive_units_kvar,tamper_flag,outage_flag,quality_flag,created_at
RD00026062,-,CUST003336,2022-05-11 23:24:18,Revised,0.2797,52827.66,213.0,16.08,NULL,1.655,0.0535,0,0,Good,2022-05-11 23:44:18
RD00022546,MTR004308,CUST004308,2023-02-12 07:01:57,Automatic,17.6893,234280.84,235.2,31.81,0.751,75.743,7.0412,1,1,UNKNOWN,2023-02-12 07:11:57
RD00042013,MTR003725,CUST003725,2023-03-24 10:50:32,Manual,0.8514,141529.18,231.4,7.12,0.752,3.314,0.2408,0,0,Good,24/03/2023
RD00020505,MTR001690,CUST001690,2023-05-10 06:42:19,Automatic,11434.1,258929.67,225.5,23.6,0.989,56.346,2.9976,0,0,Good,2023-05-10 07:01:19
RD00048159,MTR004458,CUST004458,2022-03-02 16:44:20,Automatic,1.7929,275382.94,,30.87,0.969,10.661,0.5077,0,0,Good,2022-03-02 17:01:20
RD00046381,MTR003152,CUST003152,2023-01-25 08:18:02,Automatic,14.99,406433.91,234.7,36.22,0.828,56.101,2.0876,0,0,Suspect,2023-01-25 08:23:02
RD00033778,  MTR001369,CUST001369,2022-02-04 13:31:35,Automatic,0.268,211480.14,225.8,41.52,0.737,1.532,0.0492,0,0,Good,2022-02-04 13:44:35
RD00026270,MTR001957,CUST001957,2024-04-29 04:24:49,Estimated,2.4028,394469.14,220.5,46.83,UNKNOWN,13.6,0.5982,0,1,Good,29-04-2024
RD00022533,MTR001512,CUST001512,2024-08-28 12:35:42,Automatic,25.1741,460231.32,231.0,33.82,0.878,81.634,8.7446,0,0,Good,NULL
RD00042402,MTR001520,CUST001520,2023-05-19 21:43:22,Automatic,30.9812,134001.52,230.9,4.54,UNKNOWN,113.514,6.0483,0,0,Suspect,2023-05-19 22:11:22
RD00048400,MTR000618,CUST000618,2024-12-16 21:01:03,Automatic,2.2108,485419.29,239.6,7.79,0.748,12.838,0.6483,-,0,Good,2024-12-16 21:26:30
RD00034002,MTR003369,CUST003369,2024-01-24 15:39:47,Automatic,17.4892,147746.17,231.3,48.32,0.72,71.906,6.5447,0,0,Good,2024-01-24 15:57:47
RD00010639,MTR000290,CUST000290,2023-07-24 11:42:05,MANUAL,1.0547,258456.0,235.0,7.46,0.851,6.07,0.3054,NULL,0,Good,2023-07-24 12:09:05
RD00014592,MTR004113,CUST004113,2023-03-12 23:46:23,Automatic,0.6436,220790.83,228.2,40.21,0.863,2.775,0.2383,0,0,Estimated,2023-03-12 23:58:23
RD00009516,N/A,CUST002453,2024-06-30 16:39:08,Automatic,1.3283,0,226.4,37.34,0.834,6.221,0.3269,0,0,Good,2024-06-30 16:54:08
RD00027450,MTR002484,CUST002484,2022-11-14 11:22:11,Automatic,2.1512,195176.7,232.2,37.6,0.932,-,0.4843,0,0,Good,2022-11-14 11:46:11
RD00023256,MTR004452,CUST004452,2023-05-18 13:44:13,Automatic,53.7506,75482.6,,0.13,0.968,318.085,20.4017,0,0,Good,2023-05-18 13:47:13T00:00:00Z
RD00026143,MTR004509,CUST004509,2023-03-05 11:51:39,Automatic,5.7228,278576.44,UNKNOWN,44.66,0.702,,0.977,0,0,Good,2023-03-05 11:57:39
RD00016651,MTR000896,CUST000896,2024-08-26 11:59:35,Automatic,1.0908,386282.02,235.2,17.03,0.803,4.832,0.3223,0,0,N/A,2024-08-26 12:10:35
RD00010871,MTR001080,CUST001080,2022-02-04 00:39:32,Automatic,2.3586,111148.75,213.1,36.09,0.877,11.18,0.4861,0,0,Good,2022-02-04 00:42:32
RD00034973,MTR099761,CUST004776,2023-07-31 14:08:35,Automatic,27.9877,0,,14.41,0.706,91.239,10.1582,0,1,Good,2023-07-31 14:14:35
RD00020007,MTR004747,CUST004747,2022-10-20 16:32:51,Manual,1.1552 kWh,215465.62,230.7,27.73,0.959,4.079,0,0,0,Good,20-10-2022
RD00029298,  MTR004991,CUST004991,2022-09-28 16:02:19,Revised,0.3926,212909.07,222.3,45.34,0.993,1.255,0.1048,0,0,Good,2022-09-28 16:19:19
RD00028274,MTR002718,CUST002718,2022-07-04 01:41:08,Automatic,15.1968,258142.82,218.4,UNKNOWN,0.7,56.466,2.7165,0,0,Good,2022-07-04 01:48:08
RD00038827,MTR002030,CUST002030,2023-08-04 13:18:17,Automatic,2.8351,338359.7,0,10.81,0.707,13.475,0.6216,0,0,Invalid,2023-08-04 13:27:17
RD00022528,MTR003432,CUST003432,,Automatic,1.6396,388398.91,224.1,10.08,0.925,,0.2955,0,0,Good,2023-06-04 13:45:59
RD00000786,0,CUST004071,2023-04-26 17:41:12,Automatic,UNKNOWN,250492.48,224.9,27.02,0.729,2.75,0.1053,0,0,Good,N/A
RD00017355,MTR003966,CUST003966,2023-09-01 18:01:07,Automatic,2.9035,485564.16,,30.08,0.78,10.473,0.6593,0,0,Good,2023-09-01 18:07:07
RD00039312,MTR000674,CUST000674,2023-05-23 16:39:37,Manual,2.8088,191248.4,246.7,40.45,0.956,10.436,UNKNOWN,0,0,,2023-05-23 17:00:37
RD00024629,MTR003521,CUST003521,2023-05-01 22:43:50,Automatic,3.1722,203343.04,219.4,48.97,N/A,UNKNOWN,UNKNOWN,0,0,Good,2023-05-01 22:55:50
RD00001409,MTR004409,CUST004409,2023-06-09 23:52:15,Automatic,1.5304,283272.36,233.9,9.09,0.932,5.624,0.6068,0,0,Good,2023-06-09 23:53:15
RD00011906,  MTR001839,CUST001839,2022-08-04 07:18:56,Automatic,11.9383,401808.8,235.2,NULL,0.838,58.046,4.1228,0,0,Suspect,2022-08-04 07:27:56
RD00045861,MTR004210,CUST004210,2022-12-04 04:48:04,Revised,0.1294,304797.42,225.1,39.2,0.935,0.727,0.0147,0,0,Good,2022-12-04 04:59:04
RD00024259,MTR003959,CUST003959,2023-02-05 12:25:16,Estimated,11.8868,,238.7,36.39,0.985,,1.8007,0,0,Good,2023-02-05 12:29:16
RD00024403,MTR004918,CUST004918,2022-05-29 16:17:57,,2.1481,390449.76,223.4,44.16,0.907,6.965,0.5676,0,0,Estimated,2022-05-29 16:45:57
RD00046674,MTR001442,CUST001442,2022-06-10 10:34:26,Automatic,2.3698,202283.29,219.0,39.81,0.742,14.054,0.6847,0,0,Good,2022-06-10 10:52:26
RD00017801,MTR001069,CUST001069,2023/01/04 01:09:33,Automatic,11.5883,63147.61,220.3,NULL,0.943,45.016,4.2851,0,0,Good,2023-01-04 01:32:33
RD00013084,MTR000234,CUST000234,2022-11-13 18:22:38,Automatic,1.5871,305734.65,,12.05,0.885,6.713,0.3949,0,0,Good,2022-11-13 18:47:38
RD00032073,MTR001112,CUST001112,2023/09/27 06:33:37,Automatic,2.0192,113367.3,227.6,0,0.787,10.721,0.6146,0,0,Good,2023-09-27 06:51:37
RD00017449,MTR000344,CUST000344,2024-07-29 00:05:48,Automatic,54.1725,64332.03,206.9,41.82,0.925,241.885,20.1082,0,0,Estimated,29-07-2024
RD00004128,MTR004926,  CUST004926,2024-11-09 20:13:48,Automatic,2.9366,154742.31,227.7,0.64,0.738,14.931,0.7984,0,0,Estimated,2024-11-09 20:18:48
